S_MW,W_MW,Baseload_MW,DailyAvgProd_MW,DailyErrorPct
5.0,200.0,26153.76027409318,9947.758944634703,-0.6196432619867462
10.0,0.0,53920.5307499983,13067.099875570775,-0.7576600286789427
10.0,5.0,53882.12582892995,13152.45510074201,-0.7559031887030653
10.0,10.0,53844.78109770948,13237.810325913244,-0.7541486833813802
10.0,15.0,53807.960003014785,13323.165551084476,-0.7523941522715599
10.0,20.0,53771.80590120275,13408.520776255707,-0.7506403113763417
10.0,25.0,53736.031878654685,13493.876001426937,-0.748885886626343
10.0,30.0,53700.578510594474,13579.231226598173,-0.7471306342832199
10.0,35.0,53665.77796480298,13664.586451769406,-0.7453761601903656
10.0,40.0,53632.188705494715,13749.94167694064,-0.7436251995523738
10.0,45.0,53599.69071822154,13835.29690211187,-0.741877299724633
10.0,50.0,53568.25788753267,13920.652127283103,-0.7401324464105271
10.0,55.0,53537.7891283636,14006.007352454339,-0.7383902551733473
10.0,60.0,53507.64594643009,14091.36257762557,-0.7366476822446397
10.0,65.0,53477.78915469923,14176.717802796804,-0.7349045645513366
10.0,70.0,53448.10626586292,14262.073027968037,-0.7331603676091858
10.0,75.0,53419.06468584653,14347.428253139267,-0.7314174567167095
10.0,80.0,53390.748899622384,14432.783478310503,-0.7296763245362047
10.0,85.0,53362.74275437894,14518.138703481734,-0.7279349232421084
10.0,90.0,53335.132085623154,14603.49392865297,-0.7261937233940133
10.0,95.0,53307.74754508797,14688.8491538242,-0.7244518886977864
10.0,100.0,53280.90752357227,14774.204378995433,-0.7227110973577335
10.0,105.0,53254.300761419494,14859.559604166667,-0.7209697734885707
10.0,110.0,53228.18149136813,14944.9148293379,-0.7192292802307839
10.0,115.0,53202.43078094121,15030.270054509134,-0.7174890351082708
10.0,120.0,53177.08982316851,15115.625279680366,-0.7157492948571491
10.0,125.0,53152.356716583905,15200.9805048516,-0.714011166317508
10.0,130.0,53128.16492200724,15286.335730022829,-0.7122743510440583
10.0,135.0,53104.38055277693,15371.690955194066,-0.710538174154632
10.0,140.0,53080.862630567324,15457.046180365296,-0.7088019030899444
10.0,145.0,53057.5122581103,15542.40140553653,-0.7070650178635026
10.0,150.0,53034.3483111485,15627.75663070776,-0.7053276390044261
10.0,155.0,53011.424604366184,15713.111855878993,-0.7035900850967735
10.0,160.0,52989.010793101304,15798.467081050225,-0.7018538967874628
10.0,165.0,52967.15395704939,15883.822306221462,-0.7001193924993305
10.0,170.0,52945.46178782475,15969.177531392692,-0.698384394201942
10.0,175.0,52923.95168462709,16054.532756563929,-0.696649017211855
10.0,180.0,52902.82167605781,16139.887981735159,-0.6949144210007313
10.0,185.0,52882.58705558526,16225.243206906394,-0.6931836335871404
10.0,190.0,52862.73596449608,16310.598432077624,-0.6914537597329009
10.0,195.0,52843.08595162415,16395.953657248858,-0.6897237668470245
10.0,200.0,52823.69216974875,16481.30888242009,-0.6879940003160426
15.0,0.0,80880.79612499746,19600.649813356165,-0.7576600286789427
15.0,5.0,80842.24394870797,19686.005038527397,-0.7564886366709763
15.0,10.0,80804.33553919257,19771.36026369863,-0.7553180762917242
15.0,15.0,80767.17164656424,19856.71548886986,-0.7541486833813804
15.0,20.0,80730.18315616866,19942.070714041096,-0.752978750519318
15.0,25.0,80693.80057118753,20027.425939212328,-0.7518096087004321
15.0,30.0,80657.70885180416,20112.781164383567,-0.7506403113763418
15.0,35.0,80621.8933858174,20198.136389554795,-0.7494708255870861
15.0,40.0,80586.2239434827,20283.49161472603,-0.7483007563556845
15.0,45.0,80550.86776589171,20368.846839897258,-0.7471306342832199
15.0,50.0,80515.8662364629,20454.202065068494,-0.7459606035287802
15.0,55.0,80481.66913221902,20539.557290239725,-0.7447921059328878
15.0,60.0,80448.28305824206,20624.912515410957,-0.7436251995523738
15.0,65.0,80415.65453088758,20710.267740582192,-0.742459750388186
15.0,70.0,80383.69422739177,20795.62296575342,-0.7412955056914137
15.0,75.0,80352.38683129902,20880.978190924656,-0.7401324464105271
15.0,80.0,80321.8641837368,20966.33341609589,-0.7389710307502916
15.0,85.0,80291.503201347,21051.688641267123,-0.7378092599851344
15.0,90.0,80261.4689196451,21137.043866438355,-0.7366476822446397
15.0,95.0,80231.55623662195,21222.399091609586,-0.7354856357388896
15.0,100.0,80201.8305190597,21307.754316780818,-0.7343233417631646
15.0,105.0,80172.1593987944,21393.109541952057,-0.7331603676091858
15.0,110.0,80142.88762468242,21478.464767123285,-0.7319978677620254
15.0,115.0,80114.34666886993,21563.81999229452,-0.7308369737891954
15.0,120.0,80086.12334943356,21649.175217465752,-0.7296763245362048
15.0,125.0,80058.07012186939,21734.530442636988,-0.7285154337401423
15.0,130.0,80030.29513125174,21819.88566780822,-0.7273546769754747
15.0,135.0,80002.69812843474,21905.24089297945,-0.7261937233940134
15.0,140.0,79975.22669226212,21990.596118150686,-0.7250324003110534
15.0,145.0,79948.16291087233,22075.951343321914,-0.723871687108901
15.0,150.0,79921.36128535843,22161.306568493146,-0.7227110973577336
15.0,155.0,79894.60812964517,22246.661793664385,-0.7215498978658901
15.0,160.0,79868.33635987519,22332.017018835617,-0.7203896057354848
15.0,165.0,79842.27223705215,22417.372244006852,-0.7192292802307837
15.0,170.0,79816.44199387019,22502.72746917808,-0.7180690230353006
15.0,175.0,79790.9164238974,22588.082694349316,-0.7169090955874248
15.0,180.0,79765.63473475273,22673.437919520547,-0.7157492948571491
15.0,185.0,79740.85507321186,22758.79314469178,-0.7145905555715897
15.0,190.0,79716.27187636634,22844.148369863015,-0.7134318021633965
15.0,195.0,79692.24738301082,22929.503595034243,-0.7122743510440582
15.0,200.0,79668.40985946593,23014.85882020548,-0.7111168798171897
20.0,0.0,107841.0614999993,26134.19975114155,-0.7576600286789488
20.0,5.0,107802.42014387829,26219.554976312786,-0.756781388197789
20.0,10.0,107764.25165785721,26304.91020148402,-0.7559031887030592
20.0,15.0,107726.7023130042,26390.265426655253,-0.7550257748540627
20.0,20.0,107689.56219541625,26475.620651826488,-0.754148683381374
20.0,25.0,107652.49142900345,26560.975876997712,-0.7532711456611795
20.0,30.0,107615.92000603228,26646.33110216895,-0.7523941522715661
20.0,35.0,107579.66257653813,26731.686327340183,-0.7515172878672883
20.0,40.0,107543.6118024028,26817.041552511415,-0.7506403113763354
20.0,45.0,107507.77841910694,26902.396777682647,-0.749763252731289
20.0,50.0,107472.06375731208,26987.752002853875,-0.7488858866263494
20.0,55.0,107436.42013047685,27073.107228025117,-0.7480081038148328
20.0,60.0,107401.15702119167,27158.462453196345,-0.7471306342832263
20.0,65.0,107366.10461474925,27243.81767836758,-0.7462530863336825
20.0,70.0,107331.55592960326,27329.172903538813,-0.7453761601903591
20.0,75.0,107297.70155413644,27414.528128710044,-0.7445003226385217
20.0,80.0,107264.37741099215,27499.88335388128,-0.7436251995523804
20.0,85.0,107231.66889434202,27585.23857905251,-0.7427510094407564
20.0,90.0,107199.3814364458,27670.59380422374,-0.7418772997246396
20.0,95.0,107167.77626001417,27755.94902939498,-0.7410047124421754
20.0,100.0,107136.51577506262,27841.304254566207,-0.7401324464105205
20.0,105.0,107105.93923911771,27926.659479737446,-0.739261336223473
20.0,110.0,107075.57825672446,28012.014704908677,-0.7383902551733407
